Name,HP,Attack,Defense,Speed,Special,Type 1,Type 2
Bulbasaur,45,49,49,45,65,Grass,Poison
Ivysaur,60,62,63,60,80,Grass,Poison
Venusaur,80,82,83,80,100,Grass,Poison
Charmander,39,52,43,65,50,Fire,
Charmeleon,58,64,58,80,65,Fire,
Charizard,78,84,78,100,85,Fire,Flying
Squirtle,44,48,65,43,50,Water,
Wartortle,59,63,80,58,65,Water,
Blastoise,79,83,100,78,85,Water,
Caterpie,45,30,35,45,20,Bug,
Metapod,50,20,55,30,25,Bug,
Butterfree,60,45,50,70,80,Bug,Flying
Weedle,40,35,30,50,20,Poison,Bug
Kakuna,45,25,50,35,25,Poison,Bug
Beedrill,65,80,40,75,45,Poison,Bug
Pidgey,40,45,40,56,35,Normal,Flying
Pidgeotto,63,60,55,71,50,Normal,Flying
Pidgeot,83,80,75,91,70,Normal,Flying
Rattata,30,56,35,72,25,Normal,
Raticate,55,81,60,97,50,Normal,
Spearow,40,60,30,70,31,Normal,Flying
Fearow,65,90,65,100,61,Normal,Flying
Ekans,35,60,44,55,40,Poison,
Arbok,60,85,69,80,65,Poison,
Pikachu,35,55,30,90,50,Electric,
Raichu,60,90,55,100,90,Electric,
Sandshrew,50,75,85,40,30,Ground,
Sandslash,75,100,110,65,55,Ground,
NidoranF,55,47,52,41,40,Poison,
Nidorina,70,62,67,56,55,Poison,
Nidoqueen,90,82,87,76,75,Poison,Ground
NidoranM,46,57,40,50,40,Poison,
Nidorino,61,72,57,65,55,Poison,
Nidoking,81,92,77,85,75,Poison,Ground
Clefairy,70,45,48,35,60,Normal,
Clefable,95,70,73,60,85,Normal,
Vulpix,38,41,40,65,65,Fire,
Ninetales,73,76,75,100,100,Fire,
Jigglypuff,115,45,20,20,25,Normal,
Wigglytuff,140,70,45,45,50,Normal,
Zubat,40,45,35,55,40,Poison,Flying
Golbat,75,80,70,90,75,Poison,Flying
Oddish,45,50,55,30,75,Grass,Poison
Gloom,60,65,70,40,85,Grass,Poison
Vileplume,75,80,85,50,100,Grass,Poison
Paras,35,70,55,25,55,Bug,Grass
Parasect,60,95,80,30,80,Bug,Grass
Venonat,60,55,50,45,40,Bug,Poison
Venomoth,70,65,60,90,90,Bug,Poison
Diglett,10,55,25,95,45,Ground,
Dugtrio,35,80,50,120,70,Ground,
Meowth,40,45,35,90,40,Normal,
Persian,65,70,60,115,65,Normal,
Psyduck,50,52,48,55,50,Water,
Golduck,80,82,78,85,80,Water,
Mankey,40,80,35,70,35,Fighting,
Primeape,65,105,60,95,60,Fighting,
Growlithe,55,70,45,60,50,Fire,
Arcanine,90,110,80,95,80,Fire,
Poliwag,40,50,40,90,40,Water,
Poliwhirl,65,65,65,90,50,Water,
Poliwrath,90,85,95,70,70,Water,Fighting
Abra,25,20,15,90,105,Psychic,
Kadabra,40,35,30,105,120,Psychic,
Alakazam,55,50,45,120,135,Psychic,
Machop,70,80,50,35,35,Fighting,
Machoke,80,100,70,45,50,Fighting,
Machamp,90,130,80,55,65,Fighting,
Bellsprout,50,75,35,40,70,Grass,Poison
Weepinbell,65,90,50,55,85,Grass,Poison
Victreebel,80,105,65,70,100,Grass,Poison
Tentacool,40,40,35,70,100,Water,Poison
Tentacruel,80,70,65,100,120,Water,Poison
Geodude,40,80,100,20,30,Rock,Ground
Graveler,55,95,115,35,45,Rock,Ground
Golem,80,110,130,45,55,Rock,Ground
Ponyta,50,85,55,90,65,Fire,
Rapidash,65,100,70,105,80,Fire,
Slowpoke,90,65,65,15,40,Water,Psychic
Slowbro,95,75,110,30,80,Water,Psychic
Magnemite,25,35,70,45,95,Electric,
Magneton,50,60,95,70,120,Electric,
Farfetch'd,52,65,55,60,58,Normal,Flying
Doduo,35,85,45,75,35,Normal,Flying
Dodrio,60,110,70,100,60,Normal,Flying
Seel,65,45,55,45,70,Water,
Dewgong,90,70,80,70,95,Water,Ice
Grimer,80,80,50,25,40,Poison,
Muk,105,105,75,50,65,Poison,
Shellder,30,65,100,40,45,Water,
Cloyster,50,95,180,70,85,Water,Ice
Gastly,30,35,30,80,100,Poison,Ghost
Haunter,45,50,45,95,115,Poison,Ghost
Gengar,60,65,60,110,130,Poison,Ghost
Onix,35,45,160,70,30,Rock,Ground
Drowzee,60,48,45,42,90,Psychic,
Hypno,85,73,70,67,115,Psychic,
Krabby,30,105,90,50,25,Water,
Kingler,55,130,115,75,50,Water,
Voltorb,40,30,50,100,55,Electric,
Electrode,60,50,70,140,80,Electric,
Exeggcute,60,40,80,40,60,Grass,Psychic
Exeggutor,95,95,85,55,125,Grass,Psychic
Cubone,50,50,95,35,40,Ground,
Marowak,60,80,110,45,50,Ground,
Hitmonlee,50,120,53,87,35,Fighting,
Hitmonchan,50,105,79,76,35,Fighting,
Lickitung,90,55,75,30,60,Normal,
Koffing,40,65,95,35,60,Poison,
Weezing,65,90,120,60,85,Poison,
Rhyhorn,80,85,95,25,30,Rock,Ground
Rhydon,105,130,120,40,45,Rock,Ground
Chansey,250,5,5,50,105,Normal,
Tangela,65,55,115,60,100,Grass,
Kangaskhan,105,95,80,90,40,Normal,
Horsea,30,40,70,60,70,Water,
Seadra,55,65,95,85,95,Water,
Goldeen,45,67,60,63,50,Water,
Seaking,80,92,65,68,80,Water,
Staryu,30,45,55,85,70,Water,
Starmie,60,75,85,115,100,Water,Psychic
Mr. Mime,40,45,65,90,100,Psychic,
Scyther,70,110,80,105,55,Bug,Flying
Jynx,65,50,35,95,95,Ice,Psychic
Electabuzz,65,83,57,105,85,Electric,
Magmar,65,95,57,93,85,Fire,
Pinsir,65,125,100,85,55,Bug,
Tauros,75,100,95,110,70,Normal,
Magikarp,20,10,55,80,20,Water,
Gyarados,95,125,79,81,100,Water,Flying
Lapras,130,85,80,60,95,Water,Ice
Ditto,48,48,48,48,48,Normal,
Eevee,55,55,50,55,65,Normal,
Vaporeon,130,65,60,65,110,Water,
Jolteon,65,65,60,130,110,Electric,
Flareon,65,130,60,65,110,Fire,
Porygon,65,60,70,40,75,Normal,
Omanyte,35,40,100,35,90,Rock,Water
Omastar,70,60,125,55,115,Rock,Water
Kabuto,30,80,90,55,45,Rock,Water
Kabutops,60,115,105,80,70,Rock,Water
Aerodactyl,80,105,65,130,60,Rock,Flying
Snorlax,160,110,65,30,65,Normal,
Articuno,90,85,100,85,125,Ice,Flying
Zapdos,90,90,85,100,125,Electric,Flying
Moltres,90,100,90,90,125,Fire,Flying
Dratini,41,64,45,50,50,Dragon,
Dragonair,61,84,65,70,70,Dragon,
Dragonite,91,134,95,80,100,Dragon,Flying
Mewtwo,106,110,90,130,154,Psychic,
Mew,100,100,100,100,100,Psychic,
